model,releaseDate,maxResolution,effectivePixels,normalFocusRange,weight,price
Agfa ePhoto 1280,1997,1024.0,0.0,70.0,420.0,179.0
Agfa ePhoto 1680,1998,1280.0,1.0,50.0,420.0,179.0
Agfa ePhoto CL18,2000,640.0,0.0,0.0,0.0,179.0
Agfa ePhoto CL30,1999,1152.0,0.0,0.0,0.0,269.0
Agfa ePhoto CL30 Clik!,1999,1152.0,0.0,50.0,300.0,1299.0
Agfa ePhoto CL45,2001,1600.0,1.0,50.0,270.0,179.0
Agfa ePhoto CL50,1999,1280.0,1.0,0.0,0.0,179.0
Canon PowerShot 350,1997,640.0,0.0,70.0,320.0,149.0
Canon PowerShot 600,1996,832.0,0.0,40.0,460.0,139.0
Canon PowerShot A10,2001,1280.0,1.0,76.0,375.0,139.0
Canon PowerShot A100,2002,1280.0,1.0,20.0,225.0,139.0
Canon PowerShot A20,2001,1600.0,1.0,76.0,375.0,139.0
Canon PowerShot A200,2002,1600.0,1.0,20.0,225.0,139.0
Canon PowerShot A30,2002,1280.0,1.0,76.0,350.0,139.0
Canon PowerShot A300,2003,2048.0,3.0,20.0,225.0,139.0
Canon PowerShot A310,2004,2048.0,3.0,0.0,205.0,139.0
Canon PowerShot A40,2002,1600.0,1.0,76.0,350.0,139.0
Canon PowerShot A400,2004,2048.0,3.0,0.0,255.0,139.0
Canon PowerShot A410,2005,2048.0,3.0,0.0,195.0,139.0
Canon PowerShot A420,2006,2272.0,4.0,47.0,200.0,139.0
Canon PowerShot A430,2006,2272.0,4.0,47.0,210.0,139.0
Canon PowerShot A450,2007,2592.0,5.0,47.0,215.0,139.0
Canon PowerShot A460,2007,2592.0,5.0,47.0,215.0,139.0
Canon PowerShot A5,1998,1024.0,0.0,50.0,240.0,149.0
Canon PowerShot A50,1999,1280.0,1.0,50.0,290.0,149.0
Canon PowerShot A510,2005,2048.0,3.0,0.0,230.0,139.0
Canon PowerShot A520,2005,2272.0,3.0,0.0,230.0,149.0
Canon PowerShot A530,2006,2592.0,5.0,45.0,220.0,149.0
Canon PowerShot A540,2006,2816.0,6.0,45.0,230.0,149.0
Canon PowerShot A550,2007,3072.0,7.0,45.0,210.0,149.0
Canon PowerShot A560,2007,3072.0,7.0,45.0,205.0,149.0
Canon PowerShot A570 IS,2007,3072.0,7.0,45.0,215.0,149.0
Canon PowerShot A5 Zoom,1999,1024.0,0.0,50.0,290.0,149.0
Canon PowerShot A60,2003,1600.0,1.0,46.0,315.0,139.0
Canon PowerShot A610,2005,2592.0,5.0,0.0,285.0,139.0
Canon PowerShot A620,2005,3072.0,7.0,0.0,285.0,139.0
Canon PowerShot A630,2006,3264.0,8.0,0.0,315.0,139.0
Canon PowerShot A640,2006,3648.0,10.0,0.0,315.0,139.0
Canon PowerShot A650 IS,2007,4000.0,12.0,0.0,300.0,399.0
Canon PowerShot A70,2003,2048.0,3.0,46.0,315.0,139.0
Canon PowerShot A700,2006,2816.0,6.0,55.0,250.0,139.0
Canon PowerShot A710 IS,2006,3072.0,7.0,55.0,210.0,139.0
Canon PowerShot A720 IS,2007,3264.0,8.0,55.0,250.0,399.0
Canon PowerShot A75,2004,2048.0,3.0,46.0,315.0,139.0
Canon PowerShot A80,2003,2272.0,3.0,46.0,350.0,139.0
Canon PowerShot A85,2004,2272.0,4.0,0.0,300.0,139.0
Canon PowerShot A95,2004,2592.0,5.0,45.0,335.0,139.0
Canon EOS 10D,2003,3072.0,6.0,0.0,875.0,1299.0
Canon EOS-1D,2001,2464.0,4.0,0.0,1585.0,4499.0
Canon EOS-1D Mark II,2004,3504.0,8.0,0.0,1565.0,4499.0
Canon EOS-1D Mark III,2007,3888.0,10.0,0.0,1335.0,4499.0
Canon EOS-1D Mark II N,2005,3504.0,8.0,0.0,1565.0,4499.0
Canon EOS-1Ds,2002,4064.0,11.0,0.0,1585.0,7999.0
Canon EOS-1Ds Mark II,2004,4992.0,16.0,0.0,1565.0,7999.0
Canon EOS-1Ds Mark III,2007,5616.0,21.0,0.0,1385.0,7999.0
Canon EOS 20D,2004,3504.0,8.0,0.0,770.0,1299.0
Canon EOS 20Da,2005,3504.0,8.0,0.0,770.0,1299.0
Canon EOS 300D / Digital Rebel,2003,3072.0,6.0,0.0,645.0,1299.0
Canon EOS 30D,2006,3504.0,8.0,0.0,784.0,1299.0
Canon EOS 350D / Digital Rebel XT,2005,3456.0,8.0,0.0,540.0,1299.0
Canon EOS 400D / Digital Rebel XTi,2006,3888.0,10.0,0.0,556.0,1299.0
Canon EOS 40D,2007,3888.0,10.0,0.0,822.0,1299.0
Canon EOS 5D,2005,4368.0,12.0,0.0,895.0,2499.0
Canon EOS D30,2000,2160.0,3.0,0.0,855.0,549.0
Canon EOS D60,2002,3072.0,6.0,0.0,855.0,549.0
Canon PowerShot G1,2000,2048.0,3.0,70.0,490.0,499.0
Canon PowerShot G2,2001,2272.0,3.0,70.0,510.0,499.0
Canon PowerShot G3,2002,2272.0,3.0,50.0,490.0,499.0
Canon PowerShot G5,2003,2592.0,5.0,50.0,490.0,149.0
Canon PowerShot G6,2004,3072.0,7.0,50.0,467.0,499.0
Canon PowerShot G7,2006,3648.0,10.0,50.0,380.0,499.0
Canon PowerShot G9,2007,4000.0,12.0,50.0,370.0,499.0
Canon PowerShot Pro1,2004,3264.0,8.0,50.0,640.0,139.0
Canon PowerShot Pro70,1998,1536.0,1.0,32.0,800.0,199.0
Canon PowerShot Pro90 IS,2001,1856.0,2.0,10.0,680.0,384.0
Canon PowerShot S10,1999,1600.0,1.0,46.0,320.0,399.0
Canon PowerShot S100,2000,1600.0,1.0,57.0,250.0,199.0
Canon PowerShot S110,2001,1600.0,1.0,57.0,250.0,199.0
Canon PowerShot S1 IS,2004,2048.0,3.0,10.0,469.0,399.0
Canon PowerShot S20,2000,2048.0,3.0,66.0,320.0,399.0
Canon PowerShot S200,2002,1600.0,1.0,57.0,250.0,199.0
Canon PowerShot S230,2002,2048.0,3.0,47.0,250.0,199.0
Canon PowerShot S2 IS,2005,2592.0,5.0,50.0,505.0,399.0
Canon PowerShot S30,2001,2048.0,3.0,80.0,323.0,399.0
Canon PowerShot S300,2001,1600.0,1.0,76.0,270.0,199.0
Canon PowerShot S330,2002,1600.0,1.0,76.0,274.0,199.0
Canon PowerShot S3 IS,2006,2816.0,6.0,50.0,510.0,399.0
Canon PowerShot S40,2001,2272.0,3.0,80.0,323.0,139.0
Canon PowerShot S400,2003,2272.0,3.0,46.0,230.0,139.0
Canon PowerShot S410,2004,2272.0,3.0,0.0,215.0,139.0
Canon PowerShot S45,2002,2272.0,3.0,50.0,323.0,139.0
Canon PowerShot S50,2003,2592.0,5.0,50.0,323.0,399.0
Canon PowerShot S500,2004,2592.0,5.0,0.0,215.0,149.0
Canon PowerShot S5 IS,2007,3264.0,8.0,50.0,550.0,399.0
Canon PowerShot S60,2004,2592.0,5.0,50.0,300.0,399.0
Canon PowerShot S70,2004,3072.0,7.0,50.0,300.0,399.0
Canon PowerShot S80,2005,3264.0,8.0,50.0,290.0,399.0
Canon PowerShot SD10,2003,2272.0,3.0,0.0,140.0,199.0
Canon PowerShot SD100,2003,2048.0,3.0,47.0,185.0,199.0
Canon PowerShot SD1000,2007,3072.0,7.0,0.0,175.0,199.0
Canon PowerShot SD110,2004,2048.0,3.0,0.0,195.0,199.0
